USPS,GEOID,ANSICODE,NAME,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
CA,600135,2582926,Acalanes Ridge CDP,57,S,1193072,0,0.461,0,37.904722,-122.078574
CA,600156,2629758,Acampo CDP,57,S,2428474,0,0.938,0,38.173529,-121.279892
CA,600212,2407697,Acton CDP,57,S,101679341,60418,39.259,0.023,34.49607,-118.183897
CA,600296,2409663,Adelanto city,25,A,137220853,45848,52.981,0.018,34.580902,-117.439458
CA,600310,2582927,Adin CDP,57,S,8901691,15858,3.437,0.006,41.199312,-120.956779
CA,600394,2409666,Agoura Hills city,25,A,20189298,70382,7.795,0.027,34.148942,-118.76393
CA,600450,2582928,Agua Dulce CDP,57,S,59181145,14646,22.85,0.006,34.504582,-118.316399
CA,600464,2582929,Aguanga CDP,57,S,35222112,0,13.599,0,33.452246,-116.85547
CA,600478,2628702,Ahwahnee CDP,57,S,25961479,0,10.024,0,37.365224,-119.7193
CA,600535,2583084,Airport CDP,57,S,1487228,54227,0.574,0.021,37.631584,-120.977328
CA,600562,2409669,Alameda city,25,A,27045459,32778370,10.442,12.656,37.741911,-122.259914
CA,600618,2407707,Alamo CDP,57,S,25054002,0,9.673,0,37.854601,-122.012985
CA,600674,2409674,Albany city,25,A,4633458,9521771,1.789,3.676,37.89065,-122.318116
CA,600716,2628703,Albion CDP,57,S,4701873,96897,1.815,0.037,39.225327,-123.757586
CA,600786,2611374,Alderpoint CDP,57,S,6288254,0,2.428,0,40.161347,-123.615729
CA,600884,2409681,Alhambra city,25,A,19764228,1730,7.631,0.001,34.083571,-118.136444
CA,600898,2582930,Alhambra Valley CDP,57,S,3465844,0,1.338,0,37.96654,-122.131847
CA,600947,2409683,Aliso Viejo city,25,A,17921218,0,6.919,0,33.579219,-117.728915
CA,600982,2582931,Alleghany CDP,57,S,904298,0,0.349,0,39.46666,-120.841126
CA,600996,2582932,Allendale CDP,57,S,15892906,164542,6.136,0.064,38.442986,-121.98333
CA,601010,2585402,Allensworth CDP,57,S,8035084,0,3.102,0,35.849878,-119.389209
CA,601094,2407722,Almanor CDP,57,S,2287751,0,0.883,0,40.214494,-121.17622
CA,601150,2407724,Alondra Park CDP,57,S,2866013,93820,1.107,0.036,33.890508,-118.335478
CA,601164,2407725,Alpaugh CDP,57,S,2603083,0,1.005,0,35.88765,-119.487321
CA,601192,2407726,Alpine CDP,57,S,69370315,1475,26.784,0.001,32.842286,-116.756044
CA,601228,2407729,Alpine Village CDP,57,S,7262262,0,2.804,0,38.785529,-119.80089
CA,601276,2628704,Alta CDP,57,S,6173301,17423,2.384,0.007,39.215685,-120.798509
CA,601290,2407732,Altadena CDP,57,S,22568843,40734,8.714,0.016,34.192212,-118.135589
CA,601360,2407731,Alta Sierra CDP,57,S,21551269,53117,8.321,0.021,39.126174,-121.049085
CA,601416,2582933,Alto CDP,57,S,325685,0,0.126,0,37.905581,-122.518718
CA,601444,2409688,Alturas city,25,A,7314018,73903,2.824,0.029,41.489136,-120.551286
CA,601458,2407736,Alum Rock CDP,57,S,2197981,0,0.849,0,37.3694,-121.82393
CA,601514,2409693,Amador City city,25,A,802581,0,0.31,0,38.418989,-120.823248
CA,601640,2409695,American Canyon city,25,A,15754817,31524,6.083,0.012,38.179033,-122.259602
CA,601651,2407740,Amesti CDP,57,S,7636978,166234,2.949,0.064,36.959483,-121.781739
