"nf_location_num","nf_loc_region_cde","nf_loc_street_address","nf_loc_city","nf_loc_zip_cde","nf_loc_phone_num","nf_loc_fax_num","nf_mailing_address","nf_mailing_city","nf_mailing_state","nf_mailing_zip_cde","nf_Loc_Type","nf_state_vendor_num","nf_license_num","nf_name","nf_staff_last_name","nf_staff_first_name","nf_staff_mid_name","NF_County_Name","nf_licensee_name","nf_ownership_type_desc","nf_bed_type_cde","nf_SSPS","RCSUnit","TOTAL_Beds_nf_bed_count","XVIII_Beds_nf_bed_count","XIX_Beds_nf_bed_count","T1819_Beds_nf_bed_count","FAIN_Id","nf_bed_type_desc","Has Reports?","Reports Location",
"32400","2","414 17th St SE","Auburn","98002","2538331740","2538332050","4601 NE 77th Ave Suite 300","Vancouver","WA","98662","NF","4115441","1544","Advanced Post Acute","Pratten","Andrea","M","King","EmpRes at Auburn, LLC","Limited Liability Company","BD89","","F","96","","","96","44322","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1544",
"40790","2","135 SOUTH 336TH STREET","FEDERAL WAY","98003","2538357453","2536816302","135 SOUTH 336TH ST","FEDERAL WAY","WA","98003","NF","4113551","1355","AVALON CARE CENTER - FEDERAL WAY, LLC","Ellering","Shannon","","King","AVALON CARE CENTER - FEDERAL WAY LLC","Limited Liability Company","BD89","102791","F","120","","","120","43480","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1355",
"40260","2","2720 E Madison St","Seattle","98112","2063225300","2067202299","2720 E Madison St","Seattle","WA","98112","NF","4111068","1106","BAILEY-BOUSHAY HOUSE","KNOWLES","BRIAN","P","King","VIRGINIA MASON MEDICAL CENTER","Non Profit Corporation","BD89","239384","H","35","0","30","5","43242","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1106",
"25060","2","820 NW 95th St","Seattle","98117","2067820100","2067820101","820 NW 95th St","Seattle","WA","98117","NF","4116221","1622","Ballard Center","McDaniel","Kayla","S","King","820 NW 95th Street Operations LLC","Limited Liability Company","BD89","","H","142","","","142","46404","Title 18/19","No"," ",
"9400","2","11 WEST ALOHA ST","SEATTLE","98119","2062847330","2062815742","11 WEST ALOHA ST","SEATTLE","WA","98119","NF","4146106","461","BAYVIEW MANOR","Smith","Joel","G","King","BAYVIEW MANOR HOMES","Non Profit Corporation","BD89","114665","H","50","0","0","50","42683","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=461",
"35400","2","22410 BENSON ROAD SE","KENT","980310000","2538527755","2538520502","22410 BENSON RD SE","KENT","WA","980310000","NF","4113635","1363","BENSON HEIGHTS REHABILITATION CENTER","Glazier","Darren","","King","AVALON CARE CENTER - KENT LLC","Limited Liability Company","BD89","439792","F","91","","","91","43487","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1363",
"40940","2","100 Timber Ridge Way NW","Issaquah","98027","4254275200","4254275207","100 Timber Ridge Way NW","Issaquah","WA","98027","NF","4916201","1620","Briarwood at Timber Ridge","Humphrey","Errin","D","King","Timber Ridge OpCo LLC","Limited Liability Company","BD18","","F","45","45","0","0","46200","Title 18","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1620",
"9900","2","1031 SW 130TH STREET","BURIEN","98146","2062423213","2062420528","1031 SW 130TH STREET","BURIEN","WA","98146","NF","4115831","1583","Burien Nursing and Rehabilitation Center","Baldwin","Lynda","","King","BURIEN POST-ACUTE SERVICES, INC.","For Profit Corporation","BD89","","F","140","","","140","44987","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1583",
"4500","2","502 29th St SE","Auburn","98002","2539390090","2539390095","4601 NE 77th Ave Suite 300","Vancouver","WA","98662","NF","4116061","1606","Canterbury House","Odenthal","Victoria","","King","Evergreen Washington Healthcare Auburn LLC","Limited Liability Company","BD89","","F","100","0","","100","45954","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1606",
"23500","2","7500 SEWARD PARK AVE SO","SEATTLE","981180000","2067258800","2064569885","7500 SEWARD PARK AVE SO","SEATTLE","WA","981180000","NF","4165809","658","CAROLINE KLINE GALLAND HOME, THE","BABADZHANOVA","LILYA","","King","THE CAROLINE KLINE GALLAND HOME","Non Profit Corporation","BD89","114096","F","205","0","","205","42813","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=658",
"1200","2","4700 PHINNEY AVENUE NO","SEATTLE","981031000","2066327400","2065450955","4700 PHINNEY AVE N","SEATTLE","WA","981031000","NF","4104808","48","COLUMBIA LUTHERAN HOME","Heyer","David","","King","COLUMBIA LUTHERAN MINISTRIES","Non Profit Corporation","BD89","114121","H","116","0","0","116","42554","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=48",
"40280","2","10901  176TH CIRCLE NE","REDMOND","98052","4255568150","4255568128","10901  176TH CIRCLE NE","REDMOND","WA","98052","NF","4111134","1113","CORWIN CENTER AT EMERALD HEIGHTS","ZELL","ANN","","King","EASTSIDE RETIREMENT ASSOCIATION","Non Profit Corporation","BD89","389501","H","61","0","","61","43249","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1113",
"40600","2","9107 Fortuna Dr","Mercer Island","98040","2062683000","2062683035","9107 Fortuna Dr","Mercer Island","WA","98040","NF","4112314","1231","COVENANT SHORES HEALTH CENTER","Dumas","Rene","F","King","Covenant Living West","Non Profit Corporation","BD89","174435","F","43","0","","43","43358","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1231",
"11700","2","2323 Jensen St","Enumclaw","98022","3608252541","3608254351","4601 NE 77th Ave Suite 300","Vancouver","WA","98662","NF","4116021","1602","Enumclaw Health and Rehabilitation Center","Toor","Navdeep","","King","Evergreen Washington Healthcare Enumclaw LLC","Limited Liability Company","BD89","","F","92","0","0","92","45959","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=1602",
"40390","2","15230 15th Ave NE","Shoreline","98155","2063612990","2063613035","15230 15th Ave NE","Shoreline","WA","98155","NF","4088464","8846","FIRCREST SCHOOL PAT N","PILKEY","SHIRLEY","","King","STATE OF WASHINGTON","State ICF/IID","BD19","","H","92","","92","","43621","Title 19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=8846",
"7700","2","13023 GREENWOOD AVENUE N","SEATTLE","98133","2063641300","2068342531","13023 GREENWOOD AVE N","SEATTLE","WA","98133","NF","4141701","417","FOSS HOME AND VILLAGE","Gerdis","Rachael","V","King","FOSS HOME AND VILLAGE","Non Profit Corporation","BD89","516990","H","211","0","0","211","42665","Title 18/19","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/NHForms.aspx?ref=adv&Lic=417",
